Película,fecha_estreno
Blancanieves,21 mar.
Los aitas,21 mar.
Novocaine,21 mar.
The Alto Knights,21 mar.
8,21 mar.
La chica de la aguja,21 mar.
Un año y un día,21 mar.
Misericordia,21 mar.
"Wilding, el regreso de la naturaleza",21 mar.
"Salvaxe, salvaxe",21 mar.
Sugar Island,21 mar.
Hans Zimmer & Friends: Diamond in the Desert,19 mar.
Wolfgang (Extraordinario),14 mar.
La vida ante nosotros,14 mar.
Secretos de un crimen,14 mar.
Morlaix,14 mar.
Las chicas del balcón,14 mar.
¡Lumière! La aventura continúa,14 mar.
El guardián. Bajo la protección de San José,14 mar.
Hotel Providencia,14 mar.
"Ernest & Célestine, cuentos de primavera",14 mar.
Todos lo sabían,14 mar.
Mickey 17,7 mar.
Lee Miller,7 mar.
Presence,7 mar.
Looney Tunes. El día que la Tierra explotó,7 mar.
Tardes de soledad,7 mar.
Grand Tour,7 mar.
Super Wings: Máxima velocidad,7 mar.
A Complete Unknown,28 feb.
El secreto del orfebre,28 feb.
Amenaza en el aire,28 feb.
The Monkey,21 feb.
Paddington: Aventura en la selva,21 feb.
Aún estoy aquí,21 feb.
Capitán América: Brave New World,14 feb.
Bridget Jones: Loca por él,14 feb.
María Callas,7 feb.
Policán,31 ene.
Memorias de un caracol,31 ene.
The Brutalist,24 ene.
"Flow, un mundo que salvar",24 ene.
A Real Pain,10 ene.
Heretic (Hereje),1 ene.
Sonic 3: La película,25 dic.
Mufasa: El rey león,20 dic.
Cónclave,20 dic.
La guitarra flamenca de Yerai Cortés,20 dic.
Vaiana 2,29 nov.
Wicked,22 nov.
Anora,31 oct.
La infiltrada,11 oct.
